Latitude,Longitude,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
68.9,136.4,0,0,0,0,0,0,0,35311350,107329,0,0,0
68.9,138.1,0,0,0,0,0,643976,429317,34828370,1234287,0,0,0
68.9,138.4,0,0,0,0,0,3219880,18353316,144948270,2200251,0,0,0
68.9,138.6,0,0,0,0,0,1717269,51303424,108724616,1448946,0,0,0
68.9,138.9,0,0,0,0,0,0,62787660,113608104,160994,0,0,0
68.9,139.1,0,0,0,0,0,0,9283987,48566524,268323,0,0,0
68.9,139.4,0,0,0,0,0,0,0,2039257,0,0,0,0
68.9,140.1,0,0,0,0,0,1073293,0,0,0,0,0,0
68.9,140.9,0,0,0,0,0,1663604,0,0,0,0,0,0
68.9,141.1,0,0,0,0,0,0,0,10357280,4454167,0,0,0
68.9,150.6,0,0,0,0,0,0,0,0,5044478,0,0,0
68.9,150.9,0,0,0,0,0,1717269,17816668,1395281,9874298,0,0,0
68.9,151.1,0,0,0,0,0,31018178,27422644,1878263,214658,0,0,0
68.9,151.4,0,0,0,0,0,9444981,1234287,0,0,0,0,0
68.9,152.9,0,0,0,0,0,15509089,1073293,0,0,0,0,0
68.9,163.6,0,0,0,0,0,2253916,11859891,0,0,0,0,0
68.9,163.9,0,0,0,0,0,7298394,13899149,0,0,0,0,0
68.9,164.1,0,0,0,0,0,482982,2951556,0,0,0,0,0
68.9,167.1,0,0,0,0,0,2307580,0,0,0,0,0,0
68.9,168.1,0,0,0,0,0,7083736,0,0,0,0,0,0
68.9,168.4,0,0,0,0,0,6225101,0,0,0,0,0,0
68.9,173.6,0,0,0,0,0,0,2307580,0,0,0,0,0
68.6,124.6,0,0,0,0,0,0,1824598,2039257,0,0,0,0
68.6,124.9,0,0,0,0,0,0,6332430,1556275,0,0,0,0
68.6,125.9,0,0,0,0,0,0,3971185,429317,0,0,0,0
68.6,126.1,0,0,0,0,0,0,188041000,10410945,0,0,0,0
68.6,126.4,0,0,0,0,0,1234287,58548150,25329724,0,0,0,0
68.6,126.9,0,0,0,0,0,107329,0,0,0,0,0,0
68.6,127.1,0,0,0,0,0,2951556,107329,0,0,0,0,0
68.6,130.4,0,0,0,0,0,214658,11430574,0,0,0,0,0
68.6,130.6,0,0,0,0,0,0,3541868,6332430,0,0,0,0
68.6,130.9,0,0,0,0,0,1180622,26242022,3649197,0,0,0,0
68.6,132.6,0,0,0,0,0,0,5098143,4454167,0,0,0,0
68.6,132.9,0,0,0,0,0,0,13684490,482982,0,0,0,0
68.6,133.1,0,0,0,0,0,0,53664,2361245,0,0,0,0
68.6,133.4,0,0,0,0,0,0,39658188,3488203,0,0,0,0
68.6,133.6,0,0,0,0,0,0,3488203,697640,0,0,0,0
68.6,133.9,0,0,0,0,0,858634,22109844,107329,0,0,0,0
68.6,134.1,0,0,0,0,4615161,643976,30052214,14167472,0,0,0,0
68.6,134.4,0,0,0,0,8371688,268323,214658,2146586,0,0,0,0
68.6,134.6,0,0,0,0,6386095,1073293,11162251,1556275,0,0,0,0
68.6,134.9,0,0,0,0,1770934,0,107329,0,0,0,0,0
68.6,135.1,0,0,0,0,0,0,0,3810191,0,0,0,0
68.6,135.4,0,0,0,0,0,0,0,6761748,1985592,0,0,0
68.6,135.6,0,0,0,0,0,0,160994,2468574,4293173,0,0,0
68.6,136.9,0,0,0,0,0,0,0,1824598,53664,0,0,0
68.6,140.6,0,0,0,0,0,3327209,0,0,0,0,0,0
68.6,140.9,0,0,0,0,0,4024850,268323,0,0,0,0,0
68.6,144.9,0,0,0,0,0,0,0,0,10196286,0,0,0
68.6,145.1,0,0,0,0,0,12450203,3863856,5312802,11752562,0,0,0
68.6,145.4,0,0,0,0,0,7620382,5151808,0,0,0,0,0
68.6,145.6,0,0,0,0,0,0,0,7674047,2414910,0,0,0
68.6,145.9,0,0,0,0,0,0,0,60211756,22002514,0,0,0
68.6,146.1,0,0,0,0,0,0,0,4024850,22861148,0,0,0
68.6,150.6,0,0,0,0,0,0,0,53664,214658,0,0,0
68.6,155.4,0,0,0,0,0,2039257,0,0,0,0,0,0
68.6,168.1,0,0,0,0,0,1073293,0,0,0,0,0,0
68.4,122.4,0,0,0,0,0,0,2039257,0,0,0,0,0
68.4,123.4,0,0,0,0,0,0,0,3058886,0,0,0,0
68.4,124.1,0,0,0,0,0,0,8801005,4722490,0,0,0,0
68.4,124.4,0,0,0,0,0,0,42019436,19641268,0,0,0,0
68.4,124.6,0,0,0,0,0,0,138615840,21519532,0,0,0,0
68.4,124.9,0,0,0,0,0,0,19480274,1878263,0,0,0,0
68.4,126.4,0,0,0,0,0,53664,0,0,0,0,0,0
68.4,130.6,0,0,0,0,0,0,53664,321988,0,0,0,0
68.4,130.9,0,0,0,0,0,214658,3380874,1234287,0,0,0,0
68.4,131.4,0,0,0,0,0,14918777,12611197,5312802,0,0,0,0
68.4,131.6,0,0,0,0,0,22539160,12235544,107329,0,0,0,0
68.4,131.9,0,0,0,0,26885998,214658,0,0,0,0,0,0
68.4,132.1,0,0,0,0,20392572,751305,0,0,0,0,0,0
68.4,132.4,0,0,0,0,12128215,3380874,1234287,0,0,0,0,0
68.4,133.6,0,0,0,0,0,0,2683233,2575904,0,0,0,0
68.4,133.9,0,0,0,0,0,0,0,53664,0,0,0,0
68.4,134.1,0,0,0,0,0,0,6815412,8049700,19909592,0,0,0
68.4,134.4,0,0,0,0,0,0,5581125,7298394,7030071,0,0,0
